Subscription Size
<[-Infinity, Infinity, 428]>
<[-Infinity, Infinity, 37]>
<[-Infinity, Infinity, 16]>
<[-Infinity, Infinity, 7]>
<[-Infinity, Infinity, 17]>
<[-Infinity, Infinity, 15]>
<[-Infinity, Infinity, 5]>
<[-Infinity, Infinity, 28]>
<[-Infinity, Infinity, 9]>
<[-Infinity, Infinity, 66]>
<[-Infinity, Infinity, 33]>
<[-Infinity, Infinity, 37]>
<[-Infinity, Infinity, 16]>
<[-Infinity, Infinity, 26]>
<[-Infinity, Infinity, 124]>
<[-Infinity, Infinity, 32]>
<[-Infinity, Infinity, 27]>
<[-Infinity, Infinity, 11]>
<[-Infinity, Infinity, 47]>
<[-Infinity, Infinity, 50]>
<[-Infinity, Infinity, 26]>
<[-Infinity, Infinity, 137]>
<[-Infinity, Infinity, 76]>
<[-Infinity, Infinity, 19]>
<[-Infinity, Infinity, 69]>
<[-Infinity, Infinity, 12]>
<[-Infinity, Infinity, 222]>
<[-Infinity, Infinity, 9]>
<[-Infinity, Infinity, 2]>
<[-Infinity, Infinity, 46]>
<[-Infinity, Infinity, 5]>
<[-Infinity, Infinity, 36]>
<[-Infinity, Infinity, 71]>
<[-Infinity, Infinity, 86]>
<[-Infinity, Infinity, 37]>
<[-Infinity, Infinity, 33]>
<[-Infinity, Infinity, 143]>
<[-Infinity, Infinity, 29]>
<[-Infinity, Infinity, 45]>
<[-Infinity, Infinity, 9]>
<[-Infinity, Infinity, 45]>
<[-Infinity, Infinity, 15]>
<[-Infinity, Infinity, 72]>
<[-Infinity, Infinity, 3467]>
<[-Infinity, Infinity, 54]>
<[-Infinity, Infinity, 997]>
<[-Infinity, Infinity, 31]>
<[-Infinity, Infinity, 47]>
<[-Infinity, Infinity, 163]>
<[-Infinity, Infinity, 12]>
<[-Infinity, Infinity, 10]>
<[-Infinity, Infinity, 26]>
<[-Infinity, Infinity, 197]>
<[-Infinity, Infinity, 46]>
<[-Infinity, Infinity, 49]>
