Subscription Size
25
18
23
12
28
75
3
16
14
74
17
78
8
13
65
29
33
19
10
11
27
9
37
34
68
11
43
6
14
39
6
11
11
23
14
17
19
2
20
19
16
19
5
4
10
9
6
25
34
26
14
19
46
43
29
56
36
3
3
4
26
11
19
30
61
36
14
19
44
42
23
26
33
45
19
3
46
41
12
17
17
6
10
40
42
21
18
22
36
20
24
47
29
8
54
32
12
8
60
36
50
71
23
2
30
26
78
27
67
56
15
15
36
5
27
44
10
40
10
10
20
11
12
13
18
14
11
52
6
6
73
42
22
88
3
17
25
22
24
10
13
29
18
68
7
58
10
5
16
9
15
21
3
13
4
7
19
7
13
14
32
9
60
27
4
3
5
23
13
35
25
23
16
31
9
12
15
12
11
45
36
12
12
20
18
8
14
2
13
24
53
8
7
3
12
2
27
81
46
15
15
35
7
40
18
7
32
18
18
13
17
16
16
15
66
49
62
36
14
26
16
11
23
24
26
13
42
16
39
9
6
10
20
32
51
44
23
63
9
66
55
18
26
46
9
29
12
33
3
18
10
10
66
15
8
29
5
78
9
34
21
6
17
2
48
3
16
80
3
46
2
12
29
24
23
27
34
47
10
17
12
63
16
4
6
8
6
40
25
13
44
6
38
10
21
42
21
28
44
25
5
84
4
22
9
28
13
3
2
6
5
16
24
3
42
9
10
76
11
29
36
4
56
43
10
46
55
31
24
39
23
20
34
34
22
13
12
56
16
10
72
25
20
91
18
70
29
5
11
11
10
21
33
30
21
9
14
31
35
5
31
53
42
66
15
13
17
28
9
14
56
14
22
16
28
13
6
14
23
31
58
53
36
30
15
14
91
18
33
13
13
21
8
26
40
25
22
6
5
37
69
42
4
39
16
23
8
31
4
20
2
44
5
16
26
27
4
15
28
3
9
39
17
47
14
44
37
18
18
4
12
4
11
45
33
27
58
6
39
13
13
14
14
53
7
48
35
26
13
49
18
13
7
24
10
33
11
27
31
73
4
3
3
5
13
24
48
5
55
6
14
27
5
19
75
19
17
79
61
9
12
19
38
19
7
37
7
9
4
7
7
12
47
40
40
6
14
3
7
22
37
11
3
49
20
13
4
30
29
6
7
12
6
26
15
57
25
28
64
15
5
67
9
19
3
13
23
50
5
7
5
16
39
3
12
41
6
3
98
17
13
8
2
51
51
43
16
26
55
50
22
21
31
12
14
48
6
8
8
10
31
10
48
40
28
12
24
44
56
14
10
33
9
23
14
43
24
19
12
3
39
22
61
33
21
41
31
10
13
7
12
9
58
78
21
10
28
12
39
11
3
17
25
9
2
14
26
21
12
67
22
5
7
10
55
10
72
46
3
6
12
27
47
12
14
12
8
23
37
63
17
22
10
6
4
13
2
10
33
35
39
11
20
62
19
56
20
9
31
36
13
34
22
16
8
23
19
11
35
5
30
13
12
40
15
8
41
24
94
60
7
30
87
28
5
2
50
2
70
11
36
18
62
19
9
6
38
27
9
8
48
30
26
14
10
53
29
22
21
28
34
17
13
16
22
26
38
5
10
2
11
50
15
25
13
7
24
14
8
15
21
21
80
13
22
26
16
60
9
58
9
91
90
27
22
44
28
30
53
11
42
9
2
61
33
36
79
52
14
15
94
3
24
14
56
16
2
14
85
20
50
65
46
11
24
28
17
2
23
14
16
